{ 0052};{ Relativistic charged spheres: exact solutions for stars, regular black holes and quasiblack holes};{ Lemos J, Zanchin V};{Lemos J};{ Guilfoyle [1] found a class of exact solutions of spherically symmetric distributions of charged matter matched smoothly to a Reissner-Nordstrom solution, in which the interior parameters are given uniquely in terms of the exterior global ADM mass and electric charge and have several interesting properties [2].  Here we show that this class of solutions hides a rich variety of bodies and spacetimes. Indeed, one finds undercharged, extremal charged and overcharged stars, regular black holes, and quasiblack holes, these latter may even be considered the real frozen stars [3], i.e., collapsed compact stars with their boundary surfaces looming at their own gravitational radii. The spectrum of solutions also contain bridge spacetimes with negative electromagnetic field energy of the type considered by Einstein and Rosen to mimic an electron as a nonsingular particle solution of the theory [4]. The charged solutions yield appropriately the Andreasson limit [5] which in turn gives the Buchdahl limit in the uncharged case. \n[1] S. Guilfoyle, Gen. Relativ. Gravit. 31, 1645 (1999); arXiv:gr-qc/9906089.\n[2] J. P. S. Lemos, V. T. Zanchin, Phys. Rev. D 80, 024010 (2009); arXiv:1004.3574 [gr-qc].\n[3] J. P. S. Lemos, V. T. Zanchin, Phys. Rev. D 81, 124016 (2010); arXiv:0905.3553 [gr-qc].\n[4] A. Einstein, N. Rosen, Phys. Rev. 48, 73 (1935).\n[5]. H. Andreasson, Commun. Math. Phys. 288, 715 (2009); arXiv:0804.1882 [gr-qc].\n};
{ 0100};{ Scalar multi-wormholes};{ Sushkov S, Egorov A, Kashargin P};{Sushkov S};{ We construct an exact axially symmetric solution describing $n$ wormholes in\ngeneral relativity with the phantom scalar field possessing the negative\nkinetic energy. The spacetime of multi-wormholes is everywhere regular and has\nno event horizons. It has a complicated topological structure. Namely, in the\nspacetime there exist $2^n$ asymptotically flat regions connected by throats.};
{ 0107};{ Static spherical black holes with scalar field};{ Tafel J};{Tafel J};{ We describe static spherically symmetric black holes with a self-interacting scalar field in terms of one function which satisfies simple conditions. We analyze global structure of solutions and admissible potentials of the scalar eld. Then we apply this approach to asymptotically anti-de Sitter spacetimes and particle-like nonsingular field congurations. We present numerical examples of solutions.};
{ 0128};{ Off-diagonal wormhole deformations  in modified  massive gravity  };{ Vacaru S};{Vacaru S};{ There are explored off-diagonal deformations of "prime" metrics in Einstein gravity (as examples, we cosider wormhole configurations) into "target" exact solutions in f(R,T)-modified and massive/ bi-metric gravity theories. The new classes of solutions may posses, or not, Killing symmetries and can be  characterized by  effective induced masses, anisotropic polarized interactions and cosmological constants. For nonholonomic deformations with (conformal) ellipsoid/ toroid and/or solitonic symmetries and, in particular, for small eccentricity rotoid configurations, we can generate wormholes like objects matching external black ellipsoid - de Sitter geometries. We conclude that  the solutions with nontrivial nonholonomically induced torsion can not be alternatively described as effective/analogous Einstein spaces. For zero torsion configurations, there are nonholonomic tansforms and/or non-trivial limits to exact solutions in general relativity when modified/ massive gravity effects are modelled by off-diagonal and/or nonholonomic parametric interactions.};
{ 0249};{ Sagemanifolds: a free package for differential geometry and tensor calculus};{ Gourgoulhon E, Bejger M};{Gourgoulhon E};{ SageManifolds is a new package for the modern computer algebra system Sage,\nimplementing differential geometry and tensor calculus. As Sage, it is a free\nand open source software based on the Python programming language. This\nlast feature makes it easy to use for anybody with a basic knowledge of Python.\nWe shall present SageManifolds, focussing on applications to general relativity,\nsuch as computations of the Riemann and Ricci tensors in spacetimes of arbitrary\ndimensions, performing complicated changes of coordinates, evaluating the\nintrinsic and extrinsic geometry of submanifolds, performing conformal\ndecompositions, using exterior calculus on differential forms, checking exact\nsolutions of Einstein equations and visualization of tensorial fields.\nComputationally-heavy tasks may be assisted using Cython, the C-extensions\nfor the Python language, to improve the overall speed. We shall also demonstrate\nthe pedagogical usage of SageManifolds in teaching general relativity.\n};
{ 0264};{ Spinning test particle trajectories in de sitter spacetime};{ Cole R, Gair J, Babak S};{Cole R};{ It is well-known that unstructured test particles in General Relativity follow geodesic trajectories in the background spacetime. This is the leading order result from a multipolar expansion of the energy-momentum tensor of the test body. At next order, including pole and dipole terms, the Mathisson-Papapetrou (MP) equations of motion for spinning test particles are recovered. In addition, a Spin Supplementary Condition (SSC) must be specified to fix the worldline of the body. We present an analytic solution to the MP equations in de Sitter spacetime using the Frenkel-Pirani SSC and the w-condition. We discuss methods of studying the motion of spinning test particles in black hole spacetimes, using the de Sitter solution to gain insight into the problem. This has applications in the generation of waveform templates for extreme-mass-ratio inspirals, which consist of a stellar mass compact object in orbit around a supermassive companion. The gravitational waves emitted by such a system are expected to be below the level of noise in a detector and so to extract the waveform from the data using matched filtering, a bank of templates covering the parameter space needs to be produced. The presence of spin in the compact object can lead to a significant dephasing over the lifetime of the inspiral and so it is important to include its effect in waveform templates.};
{ 0302};{ Analyzing and visualizing the kerr vacuum via gradient flows};{ Abdelqader M, Lake K};{Abdelqader M};{ We explore the global structure of the Kerr spacetime using a new visualization and analysis tool based on gradient fields of scalar invariants. We discover that the observable structure (i.e. outside the horizon) of the Kerr vacuum does not vary smoothly with the spin parameter, but goes through a significant qualitative change at some specific "transitional" values of the spin parameter. The number of the gradient fields' critical points and their index, or winding number, along the axis of symmetry changes at these transitional values of angular momentum. This result is more than a mathematical exercise, since these gradient fields represent the cumulative tidal and frame-dragging effects of the spacetime in an observer independent way. Therefore, the result has significant applications in theoretical astrophysics by possibly providing an alternative method to extract mass and angular momentum information in numerical relativity simulations, as well as shedding light on the effect of different spin parameter values on the characteristics of relativist jets produced by black holes.};
{ 0313};{ Magnetized axially symmetric thin dust disks in conformastatic spacetimes};{ Gonzalez G};{Gonzalez G};{ An infinite family of new solutions of the Einstein-Maxwell equations for axially symmetric conformastatic spacetimes is presented. This family of solutions describe thin dust disks made of material sources with a surface conduction current. The solutions are obtained by expressing the metric function and the magnetic potential in terms of an auxiliary function which satisfies the Laplace equation, a characteristic property of the conformastatic spacetimes. By introducing then a finite discontinuity on the first derivatives of the metric tensor, solutions with a delta function type singularity with support on the hypersurface z = 0 are obtained, describing so infinitesimally thin disks of infinite extension. Then, the surface energy-momentum and the surface current density of the disk are obtained by using the formalism of tensorial distributions and their physical content is analyzed. A simple  particular model is presented in which the energy is well behaved everywhere and the energy-momentum tensor satisfies all the energy conditions. Furthermore, although the thin disks are of infinite extension, their total mass is finite.};
{ 0318};{ Splitting thin shells and the evolution of distributional solutions of einstein equations};{ Ramirez M};{Ramirez M};{ In this talk we study the existence of exact solutions that represent thin shells that at a point of their evolution split into a number of different shells in a differentiable manner, and of solutions that represent thin shells that acquire thickness as a result of the evaporation of some of their constituents. These constructions are fairly natural as they arise from stability analyses under infinitesimal separations of non-interacting shell constituents. In this way, their existence compromises the uniqueness of the evolution of thin shell models. We then analyze some conceptual issues associated with the initial value problem for distributional solutions of hyperbolic PDE systems, particularize to the case of thin shells in GR, and propose a mathematical framework in which the IVP might be defined and analyzed. };
{ 0319};{ New spherically symmetric solutions for spherical objects with charge and anisotropic pressures};{ Raghoonundun A, Hobill D};{Raghoonundun A};{ A large number of solutions to the static and spherically symmetric Einstein Field Equations (EFE) in the presence of matter exist.  However numerous reviews show that even under the simplifying assumptions of matter isotropy and charge neutrality, less than 10% of these solutions have properties that are physically realistic.  We have searched for new solutions that forgo the above two simplifications, but at the same time behave physically.  These new solutions are based on the method Tolman used to find the physically realistic Tolman VII (T7) solution.  The T7 method was crucial because of the form of the final differential equation resulting from the T7 density ansatz.  The two new exact solutions found (one incorporating anisotropy, the other both charge and anisotropy) obey well-known conditions for physical acceptability for some parameter ranges.  Since we are solving the EFE directly, an equation of state (EOS) relating energy density and fluid pressure is obtained as a by-product of these solutions.\n};
{ 0339};{ Point massive particle in general relativity};{ Katanaev M};{Katanaev M};{ It is well known that the Schwarzschild solution describes the gravitational\nfield outside compact spherically symmetric mass distribution in General\nRelativity. In particular, it describes the gravitational field outside a point\nparticle. Nevertheless, what is the exact solution of Einstein's equations with\n$\delta$-type source corresponding to a point particle is not known.\nWe prove that the Schwarzschild solution in isotropic coordinates is the\nasymptotically flat static spherically symmetric and geodesically complete\nsolution of Einstein's equations with $\delta$-type energy-momentum tensor\ncorresponding to a point particle. Solution of Einstein's equations is\nunderstood in the generalized sense after integration with a test function.\nMetric components are locally summable functions for which nonlinear Einstein's\nequations are mathematically defined. The Schwarzschild solution in isotropic\ncoordinates is locally isometric to the Schwarzschild solution in Schwarzschild\ncoordinates but differs essentially globally. It is topologically trivial\nneglecting the world line of a point particle. Gravity attraction at large\ndistances is replaced by repulsion at the particle neighbourhood.\n};
