{ 0035};{ Generalized ltb solution};{ Koptyeva E, Korkina M};{Koptyeva E};{ An interest for studying generalizations for LTB-solutions arises from consideration of local groups behavior on the background of cosmological expansion. These types of solution are also useful in the study of black hole dynamical horizons, black hole thermodynamics and also of primordial black holes as probes of the early universe. This issue has received much attention over the years, however, these discussions produced contradictory results leaving the problem unsolved. In this work we use so called %u201Cmass function method%u201D and build the consistent exactly solvable model of Schwarzschild black hole in the universe filled with dust-like matter.};
{ 0050};{ Matching of the de sitter solution and solution for anisotropy perfect fluid};{ Korkina M, Iegurnov O};{Iegurnov O};{  The matching of spherically symmetric de Sitter solution and shear-free solution for homogeneous anisotropy perfect fluid was examined. The matching was realized by Lihnerovich-Darmua conditions on the hypersurface\nt = constant (where t is the time of perfect fluid solution). The conditions of matching on this hypersurface were obtained. From this conditions follows equality of the energy density on the considered hypersurface for both metrics.\n The fact, that between above solutions exist matchig and from the matching conditions follows energy density equality makes combination of these solution interesting for the constructing cosmological models and models of the physical objects.};
{ 0278};{ Axially symmetric relativistic thin disks immersed in spheroidal matter haloes};{ Gonz�lez Villegas G, Pimentel D�az O};{Pimentel D�az O};{ An infinite family of axially symmetric relativistic thin disks of dust immersed in spheroidal matter haloes is presented. The disks are obtained from solutions of the Einstein equations for an axially symmetric conformastatic spacetime in which the metric tensor is characterized only by one metric function. By introducing a finite discontinuity on the first derivatives of the metric tensor, solutions with a singularity of the delta function type are obtained, so that they describe infinite thin disks. The nonzero components of the energy-momentum tensor, both for the disk and the halo, are obtained from the Einstein equations. In this way, the energy densities and pressures of the sources are determined. By imposing the fulfillment of all the energy conditions we obtain a constraint over the solutions, in such a way that the metric function can be properly expressed in terms of a solution of the Laplace equation.  A simple particular example is presented with energy densities and pressures well behaved everywhere. Furthermore, although the disks and the haloes are of infinite extension, their masses are finites.};
{ 0279};{ Relativistic static thin disks with electrically and magnetically polarized material source};{ Gonzalez G, Navarro A};{Navarro A};{ An infinite family of relativistic static thin disks with electrically and magnetically polarized material source is presented. The solutions are obtained by considering the Einstein-Maxwell equations for continuum media in a conformastatic spacetime so that the metric function and the electromagnetic potential can be properly expressed in terms of an auxiliary function solution of the Laplace equation. Then, given a complete solution of the Einstein-Maxwell equations, a finite discontinuity of the first derivatives of the metric tensor is introduced in order to have a solution with a singularity of the delta function type which can be interpreted as an infinite thin disk. Using then the formalism of tensorial distributions, the energy-momentum tensor of the source is obtained and its physical content is analyzed by determining the behavior of the surface energy density, the radial and azimuthal stresses, as well as the components of the electromagnetic field and the surface polarization and magnetization. Finally, a simple example is considered where the all physical quantities are everywhere well behaved, and the energy-momentum tensor of the source is in fully agreement with the complete energy conditions.};
{ 0351};{ Anisotropic charged exact models};{ Sunzu J};{Sunzu J};{ New exact solutions for the Einstein-Maxwell equations are found. This class of solutions is obtained by considering the anisotropic charged stars. We include the linear equation of state consistent with quark stars. The master differential equation is integrated after specifying the measure of anisotropy and one of the gravitational potentials which are physically reasonable. We present new anisotropic solutions which are non-singular at the center through which we regain isotropic results. Graphical and physical analysis of the results are presented. };
{ 0427};{ Some polytropic solutions in general relativity};{ Mafa Takisa P};{Mafa Takisa P};{ The Einstein-Maxwell equations with anisotropic pressures and electromagnetic %uFB01eld are studied with a polytropic equation of state. New exact solutions to the %uFB01eld equations are generated in terms of elementary functions. Special cases of the uncharged solutions of Feroze and Siddiqui (Gen Relativ Gravit 43: 1025,\n2011) and Maharaj and Mafa Takisa (Gen Relativ Gravit 44: 1419, 2012) are recovered. We also obtained exact solutions for neutral anisotropic gravitating body for a polytrope from our general treatment. Graphical plots indicate that the radial pressure pro%uFB01les are consistent with earlier treatment which suggest relevance\nin describing relativistic compact stars.\n};
{ 0430};{ Some polytropic solutions in general relativity};{ Mafa Takisa P};{Mafa Takisa P};{ The Einstein-Maxwell equations with anisotropic pressures and electro-\nmagnetic field are studied with a polytropic equation of state. New exact solutions\nto the field equations are generated in terms of elementary functions. Special cases\nof the uncharged solutions of Feroze and Siddiqui (Gen Relativ Gravit 43: 1025,\n2011) and Maharaj and Mafa Takisa (Gen Relativ Gravit 44: 1419, 2012) are re-\ncovered. We also obtained exact solutions for neutral anisotropic gravitating body\nfor a polytrope from our general treatment. Graphical plots indicate that the ra-\ndial pressure profiles are consistent with earlier treatment which suggest relevance\nin describing relativistic compact stars.\n};
{ 0436};{ Lie symmetries for a radiating star in conformally flat spacetime};{ Abebe G, Govinder K, Maharaj S};{Abebe G};{ We study  the junction condition for a shear-free radiating  spherically symmetric relativistic star when the Weyl\ntensor vanishes and there are no tidal effects. We transform the governing nonlinear partial differential equation to ordinary differential equations   using the method of Lie analysis. Particular solutions to the transformed equation are presented.};
{ 0462};{ Exact interior solutions in einstein-gauss-bonnet gravity};{ Chilambwe B, Hansraj S, Maharaj S};{Chilambwe B};{ While the general theory of relativity proposed by Einstein continues to be the most successful theory of the gravitational field, it does come short in explaining certain observed phenomena such as the late time expansion of the universe. One approach to correct this deficiency is to allow the action principle to include more than just linear forms of the Riemann and Ricci tensor as well as the Ricci scalar. In this regard the Lovelock (1971) polynomial and its simpler version the Gauss-Bonnet Lagrangian is useful. We seek to find new exact interior models for 5D Einstein-Gauss-Bonnet (EGB) theory in the case of a spherical distribution of perfect fluid. When the higher order effects are switched off, regular Einstein field equations are regained. To our knowledge such exact solutions have not been found, the case of dust (zero pressure) (Ghosh and Maharaj 2012), constant density sphere (Dadhich, et al 2010) and collapse in 5D EGB theory has been studied . It should be noted that the exterior of a 5D sphere in EGB theory is given by the Boulware and Deser metric (1985). We express the 5D EGB field equations in the standard canonical coordinates and then introduce a coordinate transformation which allows the single master field equation to be expressible as a second order ordinary differential equation in one of the gravitational potentials. We then make a choice for the remaining gravitational potential that allows the master field equation to be integrated and analysed. };
{ 0520};{ Investigation of plane waves in torsion poincare gauge theory of gravity};{ Baburova O, Frolov B, Shcherban V};{Shcherban V};{      In modern theories of gravity important place is the study of wave solutions. This is important not only in the theoretical sense, but in a practical possibility. We consider the problem of the existence of plane waves of torsion in the Poincar� gauge theory of gravity in the space of the Riemann-Cartan with curvature and torsion, and study of the roles of the irreducible parts of torsion.\n     Plane wave metric is a special case of the pp-waves metric , where one of coordinates  makes sense to the retarded time and is interpreted as the phase of the wave. It is known, that a Riemannian space admits a plane wave symmetry group G5, generated by the vector field.\n     Quadratic Lagrangian Poincare gauge theory of gravity, containing the sum of the linear term proportional to the scalar curvature, and the squares of the irreducible parts of the 2-forms of curvature and torsion in space U4. The field equations are obtained by the variation in the  basis of the coordinate 1-forms and the 1-form of the connection. The consequence of these field equations are the conditions on the coupling constants of the original Lagrangian, which means that (a) the waves of metric are flat, and (b) flat torsion waves in space U4 are massless.\n     The presence in the wave solutions of arbitrary functions enables encode the signal and therefore transfer information at the speed of light.};
